style_code,name,brand,date,retail_price,colorway,story,wants,name_join,release_month,release_dow,wmns,collab,retro,kids,colorway_nlp,main_color,resale_price
104265-131,Nike Shox R4 White Metallic,Nike,4/13/19,160,White/White/Metallic Silver-Bright Crimson,"The return of the Nike Shox R4 means fresh colorways, and it’s dropping in a clean theme of White, Metallic Silver, and Bright Crimson. The clean hue is seen for its perforated leather uppers, while metallic silver overlays cover its side panels, along with matching Swooshes. Finally, pops of crimson found on the tongues and outsoles top off the design.",72,nike shox r4 white metallic,Apr,Saturday,FALSE,FALSE,FALSE,FALSE,white white metallic silver bright crimson,White,176
104265-044,Nike Shox R4 Triple Black,Nike,4/13/19,160,Black/Black-Black-White,"There was a Nike Shox R4 Triple Black that dropped in February 2019 but it’s getting a slight update for spring with this slightly matte theme. Covered entirely in black, this version is differentiated by contrasting white branding found on the tongues. Finally, its leather construction and the signature Nike Shox cushioning prominent in the heel completes the style.",51,nike shox r4 triple black,Apr,Saturday,FALSE,FALSE,FALSE,FALSE,black black black white,Black,128
555088-081,Air Jordan 1 Retro High OG Crimson Tint,Air Jordan,4/12/19,160,Black/Crimson Tint-Hyper Pink-White,"The Air Jordan 1 Retro High OG Crimson Tint is covered in a mixture of Black, White, Crimson Tint and Hyper Pink hues. Black and Pink are used mostly for its tumbled leather upper, while a white midsole and pink outsole continues the theme. Finally, the wings logo across its ankles and Nike Air tongue tags tops off the style.",5158,air jordan 1 retro high og crimson tint,Apr,Friday,FALSE,FALSE,TRUE,FALSE,black crimson tint hyper pink white,White,202
CD8238-600,Nike Blazer Mid 77 Vintage Pink Foam,Nike,4/12/19,100,Pink Foam/Pink Foam-White,"The Nike Blazer Mid 77 Vintage Pink Foam is a perfect pair to rock for the warm months. Sporting canvas uppers in the bright hue, tonal suede overlays are found on the toe box and along the forefoot. Contrasting white is used for the laces, Nike Air tongue labels and rubber soles to top off the fresh retro style altogether.",25,nike blazer mid 77 vintage pink foam,Apr,Friday,FALSE,FALSE,FALSE,FALSE,pink foam pink foam white,Purple,93
CD8238-001,Nike Blazer Mid 77 Vintage Black Canvas,Nike,4/12/19,100,Black/White,"The Nike Blazer Mid 77 Vintage Black Canvas is arriving just in time for spring/summer. The model is made of canvas uppers with tonal suede overlays across the toe box and forefoot. Contrasting accents are found on the heel branding in white, along with white laces and Nike branded tongue labels. Finally, white rubber soles complete the simple design altogether.",17,nike blazer mid 77 vintage black canvas,Apr,Friday,FALSE,FALSE,FALSE,FALSE,black white,Black,94
CD8238-100,Nike Blazer Mid 77 Vintage Sail,Nike,4/12/19,100,Sail/White,"The Nike Blazer Mid 77 Vintage is dropping in a clean sail/white theme. The sail hue is used for its textile canvas uppers with tonal suede overlays on the toe box and along the forefoot. Contrasting the pristine design are Swoosh branding on the tongue labels and insoles, while a white rubber sole tops off the style.",28,nike blazer mid 77 vintage sail,Apr,Friday,FALSE,FALSE,FALSE,FALSE,sail white,White,92
CD9318-100,Nike Blazer Mid 77 Vintage City Pride,Nike,4/12/19,100,Cream/Navy,"The Nike Blazer Mid 77 Vintage City Pride is a more premium rendition of the classic silhouette. Sporting fresh cream leather uppers, the style is neatly contrasted with bold navy accents evident on the Swooshes, inner lining, foam tongue and heel tab. Finishing touches include bright red outlining the Swoosh branding on the sides and stitching on the tongues. Finally, cream rubber soles top it all off.",27,nike blazer mid 77 vintage city pride,Apr,Friday,FALSE,FALSE,FALSE,FALSE,cream navy,Brown,111
F33837,adidas Nite Jogger Ice Mint,Adidas,4/11/19,130,Ice Mint/Clear Mint-Raw White,"Covered in a icy teal all throughout the upper, this adidas Nite Jogger comes constructed out of a combo of ripstop nylon, mesh, and suede on the overlays for a lightweight and durable look. Subtle grey detailing is then added on the tongue and heel along with a full-length white Boost midsole to cap things off. Oh yeah, and the shoe also comes with reflective detailing that activates when hit by light.",69,adidas nite jogger ice mint,Apr,Thursday,FALSE,FALSE,FALSE,FALSE,ice mint clear mint raw white,Orange,85
AR9293-103,Nike WMNS Air Max 720 Pink Rise,Nike,4/11/19,180,White/Pink Rise-Laser Fuchsia,"The Nike WMNS Air Max 720 Pink Rise is a new women’s exclusive colorway of the silhouette for spring, and it’s dropping just in time for Easter. Covered in an official theme of White, Pink Rise, and Laser Fuchsia, the runner sports white mesh uppers featuring the molded circular pattern across. Contrasting the pristine base are light pint plastic overlays across the sides and heels, while a darker pink hue is used for its full-length Air Max 720 sole unit.",179,nike wmns air max 720 pink rise,Apr,Thursday,TRUE,FALSE,FALSE,FALSE,white pink rise laser fuchsia,Purple,176
AJ6910-005,Nike WMNS Air VaporMax 3 Pink Rise,Nike,4/11/19,190,Phantom/White-Laser Fuchsia-Pink Rise,"This Nike Air VaporMax 3 starts off by being covered in White all throughout the newly constructed breathable Flyknit material that dominates the upper with tonal detailing hitting the Swooshes on the side panels, laces, and heel counter. Laser Fuchsia and Pink Rise accents are then placed on the Flywire on the side panels, tongue branding, heel pull tab, and of course the revolutionary VaporMax sole unit down below.",228,nike wmns air vapormax 3 pink rise,Apr,Thursday,TRUE,FALSE,FALSE,FALSE,phantom white laser fuchsia pink rise,Purple,158
AO2434-101,Nike Zoom LeBron 3 Home 2019,Nike,4/11/19,175,White/Black-Varsity Crimson,"The model is coated in the Cleveland Cavs’ colorway but instead of the varsity red hue used for the OG release, this 2019 pair feautres brighter varsity crimson instead. The sneaker’s leather upper is covered in black and white that continued on the midsole, and it’s topped off with a crimson outsole.",857,nike zoom lebron 3 home 2019,Apr,Thursday,FALSE,FALSE,FALSE,FALSE,white black varsity crimson,Black,179
AJ6900-100,Nike Air VaporMax 3 White Volt,Nike,4/11/19,190,White/Black-Volt-Bright Crimson-Metallic Silver,"Sporting a white flyknit upper with contrasting black threading across its upper, more tonal black is applied for the Swooshes on its sides, laces and heel overlay. Pops of volt are used for the flywire system and semi-translucent VaporMax sole, while hits of crimson are seen on the branded areas across its tongue label and heel area.",196,nike air vapormax 3 white volt,Apr,Thursday,FALSE,FALSE,FALSE,FALSE,white black volt bright crimson metallic silver,Blue,157
AR9293-009,Nike WMNS Air Max 720 Oxygen Purple,Nike,4/11/19,180,Pure Platinum/Oxygen Purple-Oxygen Purple-Space Blue,"The Nike WMNS Air Max 720 Oxygen Purple comes dressed in a Pure Platinum mesh upper complimented by the  Purple accents placed on the overlays, sockliner, and Air Max cushioned sole. Other details include the lighter shade of Purple on the plastic cage with Space Blue hits found on the inner insole.",61,nike wmns air max 720 oxygen purple,Apr,Thursday,TRUE,FALSE,FALSE,FALSE,pure platinum oxygen purple oxygen purple space blue,Blue,140
DB3361,adidas Nite Jogger Grey Orange,Adidas,4/11/19,130,Grey/White-Orange,"This adidas Nite Jogger is dominated by a few different shades of grey throughout the mesh, ripstop nylon, and suede constructed upper. Next we see pops of color hit the stitching on the eyestay and ankle as well as on the outsole. A white Boost midsole takes care of the comfort department on this adidas Nite Jogger",140,adidas nite jogger grey orange,Apr,Thursday,FALSE,FALSE,FALSE,FALSE,grey white orange,White,97
F34123,adidas Nite Jogger Grey Red,Adidas,4/11/19,130,White/Grey-Red,"Combining grey and white throughout the majority of the upper, this adidas Nite Jogger comes constructed out of mesh, ripstop nylon, and suede for a cozy and comfortable look and feel. Pops of red are then added on the heel and outsole for some contrast. A white Boost midsole serves as the finishing touch.",133,adidas nite jogger grey red,Apr,Thursday,FALSE,FALSE,FALSE,FALSE,white grey red,White,96
DA8666,adidas Nite Jogger Trace Pink,Adidas,4/11/19,130,Raw White/Cloud White-Trace Pink,"Combining white and grey throughout the majority of the upper, this adidas Nite Jogger has been constructed out of mesh and ripstop nylon along with suede overlays. The suede overlays on the toe, mudguard, eyelets, and heel have been done in a couple of different shades of pink along with a white Boost midsole finishing off the look.",41,adidas nite jogger trace pink,Apr,Thursday,FALSE,FALSE,FALSE,FALSE,raw white cloud white trace pink,White,100
BD7676,adidas Nite Jogger Triple White,Adidas,4/11/19,130,Cloud White/Crystal White-Crystal White,"The sleek retro and modern infused runner is made of mesh and nylon ripstop uppers with suede overlays as well as reflective details. Finally, a matching white Boost midsole and rubber outsole completes the tonal style.",22,adidas nite jogger triple white,Apr,Thursday,FALSE,FALSE,FALSE,FALSE,cloud white crystal white crystal white,White,98
CG6218,adidas WMNS Falcon Ice Mint,Adidas,4/11/19,100,Ice Mint/Ice Mint-Core Black,"Dubbed the adidas Falcon Ice Mint, this adidas Falcon has the women’s-exclusive silhouette done in a Mint Green upper offset by the Volt and Purple accents found most notably on the midsole of the shoe. Constructed out of mesh and soft suede and a little bit of leather on the heel, the shoe definitely comes with plenty of retro vibes if that’s the look you’re going for.",11,adidas wmns falcon ice mint,Apr,Thursday,TRUE,FALSE,FALSE,FALSE,ice mint ice mint core black,Orange,100
DB2609,adidas Yung 96 Simple Brown,Adidas,4/11/19,100,Simple Brown/Ecru Tint-Clear Brown,"Covered in earth tones, this adidas Yung 96 takes on a white/tan mesh construction on the upper along with dark grey nubuck overlays on the toe, eyestay, and heel. Cream leather three stripes branding on the side panels, pops of purple and pink sprinkled throughout the upper, and light grey laces complete the look on the upper while a white midsole and black/purple rubber outsole wrap things up.",6,adidas yung 96 simple brown,Apr,Thursday,FALSE,FALSE,FALSE,FALSE,simple brown ecru tint clear brown,Brown,100
CK6643-100,Missing Link x Nike Air Max Susan,Nike,4/9/19,170,Multi-Color/Multi-Color,"Mr. Link, the protagonist of LAIKA’s new film, “Missing Link,” is the inspiration behind the latest collaboration between Nike and the animation studio. In the story, Mr. Link, a lovable creature, supports Sir Lionel Frost, the world’s greatest monster chaser, on a globetrotting adventure to find a remnant of Mr. Link’s primitive ancestry. The Missing Link x Nike Air Max Susan, designed by Nike VP of Advanced Concepts, Tinker Hatfield, and former animator Michael Berger, translates the materials and textures of Mr. Link’s plaid suit, created by LAIKA costume designer Deborah Cook, to a Nike Air Max 1.

Cook explains that Mr. Link’s aesthetic plays up the character’s Pacific Northwest roots and balances it with a desire to serve as playful foil to the urbane Frost. This is also evident in the shoe’s leather-wrapped midsole, cuff links and kurim fur tufts on the tongue that lend a gleefully haphazard elegance to the silhouette.

Nike has a long-time partnership with the LAIKA studio, and while many shoes have been produced in tandem over the years, the Missing Link x Nike Air Max Susan is the first to release commercially.",1361,missing link x nike air max susan,Apr,Tuesday,FALSE,TRUE,FALSE,FALSE,multi color multi color,Multi-Color,351
BQ9043-400,Air Jordan 4 GS Monsoon Blue,Air Jordan,4/6/19,150,Monsoon Blue/Armory Blue-Melon Tint,"This kids/girls-exclusive colorway of the Air Jordan 4 continues the celebration of the AJ 4’s 30th anniversary. Sporting an official theme of Monsoon Blue, Armory Blue, and Melon Tint, the leather uppers are enhanced with iridescent-like finish. Finally, light grey wings, netting on the sides and laces, followed by a white midsole and a semi-translucent purple outsole tops off the design.",542,air jordan 4 gs monsoon blue,Apr,Saturday,FALSE,FALSE,FALSE,TRUE,monsoon blue armory blue melon tint,Blue,101
AR4229-001,Nike KD 12 The Day One,Nike,4/6/19,150,Black/Pure Platinum-White,This Nike KD 12 comes done in Black all throughout the upper with Pure Platinum making its way onto the branding and the tongue tag. The highlight of the KD 12 is undoubtedly the full-length Zoom Air cushioning stitched directly onto its upper. A white midsole with translucent overlays and a translucent outsole complete the look.,313,nike kd 12 the day one,Apr,Saturday,FALSE,FALSE,FALSE,FALSE,black pure platinum white,White,120
487471-100,Air Jordan 14 Candy Cane 2019,Air Jordan,4/6/19,190,White/Varsity Red-Metallic Silver-Black,"This colorway of the Air Jordan 14 debuted in 1999 then retroed in 2012, and is returning in 2019. Sporting an official color scheme of White, Black, and Varsity Red, the clean hue covers its smooth and perforated tumbled leather uppers, with the Candy Cane theme completed with red accents across the midsole, collar and tongue area.",8063,air jordan 14 candy cane 2019,Apr,Saturday,FALSE,FALSE,FALSE,FALSE,white varsity red metallic silver black,Black,212
624041-800,Nike Air Foamposite Pro Hyper Crimson,Nike,4/6/19,230,Hyper Crimson/Black,"The Nike Air Foamposite Pro is getting another new colorway for spring 2019 with this sleek Hyper Crimson edition. Similar to the 2012 Gym Green iteration, the sneaker’s molded foamposite upper is detailed with a color-shifting hue that looks like dark copper/bronze under regular lighting. Contrasting black is used for the Swooshes, eyestays, rubber sole, lining, laces and pull tabs, while the style is topped off with orange applied on the tongue and miniature Swooshes along the forefoot.",1640,nike air foamposite pro hyper crimson,Apr,Saturday,FALSE,FALSE,FALSE,FALSE,hyper crimson black,Black,184
G26252,Overkill x adidas Consortium ZX 10000C Game Overkill,Adidas,4/6/19,180,Multicolor,"This special iteration of the adidas ZX 10000C is inspired by vintage games consoles/arcade machines. The Overkill x adidas Consortium ZX 10.000C Game Overkill comes dressed in a Grey upper constructed out of premium suede and mesh. Breaking up the tonal look of the shoe are hits of color said to be nods to the vintage game aesthetic while also keeping the vibes of the ZX series ’80s and ’90s origins. Branding hits from both brands appear on the tongues, heels and side panels.",74,overkill x adidas consortium zx 10000c game overkill,Apr,Saturday,FALSE,TRUE,FALSE,FALSE,multicolor,Multi-Color,137
BD7865,adidas ZX 4000 4D Carbon,Adidas,4/6/19,350,Carbon/Carbon-Semi Solar Yellow,"The adidas ZX 4000 4D Carbon is a modernized iteration of the ’90s adidas ZX 4000 runner with a mixed material upper consisting of mesh and suede overlays. A combination of black, carbon, neon yellow, and teal accents are used throughout, while the highlight is the model’s new 4D sole colored in mint green to round out the design.",45,adidas zx 4000 4d carbon,Apr,Saturday,FALSE,FALSE,FALSE,FALSE,carbon carbon semi solar yellow,Green,361
AQ2456-099,Nike Kyrie 5 GS Wolf Grey,Nike,4/5/19,110,Wolf Grey/White-Lime Blast,"Created for the little footers, this Nike Kyrie 5 starts off with a Wolf Grey mesh construction that dominates the shoe. White is then added on the Swoosh and heel counter while bright hits of red cover the Kyrie branding on the tongue. Bright blue and Lime Blast finish off the shoe as they land on the Flywire as well as on the midsole and outsole.",130,nike kyrie 5 gs wolf grey,Apr,Friday,FALSE,FALSE,FALSE,TRUE,wolf grey white lime blast,White,110
AO1741-103,Nike Air Max2 Light Purple Berry,Nike,4/5/19,140,White/Court Purple-Hyper Pink,"The Nike Air Max2 Light made its return in 2019, and it’s dropping in a bold Purple Berry theme just in time for spring/summer. Sporting an official mixture of White, Purple, and Pink, the retro 1994 runner features a combination of breathable mesh and synthetic leather overlays styled in an aggressive angular pattern, alongside its signature molded heel design. Finally, a white midsole and pink colored Air Max heel unit tops off the style.",114,nike air max2 light purple berry,Apr,Friday,FALSE,FALSE,FALSE,FALSE,white court purple hyper pink,Purple,104
BV7406-001,atmos x Nike Air Max2 Light,Nike,4/5/19,160,Black/Bright Crimson,"In collaboration with Japanese-based brand atmos, this special-edition Air Max2 Light takes inspiration from Nike apparel in the ’90s and the upper is a twist on the bright, bold gear. A swoosh or “NIKE AIR” branding is printed or embroidered on every piece of patchwork, and each shoe features asymmetrical patterns. Additional details on this sneaker include Bright Crimson detailing on the laces, red leather Swooshes, black on the leather toe cap and inner liner, and translucent Nike Air branding on the heels. Down below we see a white midsole with a pink/white/sky blue rubber outsole rounding out the look.",880,atmos x nike air max2 light,Apr,Friday,FALSE,TRUE,FALSE,FALSE,black bright crimson,Blue,165
DB3210,adidas WMNS Ultra Boost 4.0 Orchid Tint,Adidas,4/5/19,180,Core Black/Carbon/Orchid Tint,This Ultra Boost 4.0 takes on a Primeknit construction on the upper in black with white speckling sprinkled all throughout the knitted construction. Adding some luxury appeal is the use of leather on the side panel cages instead of the traditional plastic. For further contrast we see a white heel counter with tonal Ultra Boost branding and a white Boost midsole. A black Continental rubber outsole cap things off.,62,adidas wmns ultra boost 40 orchid tint,Apr,Friday,TRUE,FALSE,FALSE,FALSE,core black carbon orchid tint,Black,125
DB3197,adidas Ultra Boost 4.0 White Black,Adidas,4/5/19,180,Orchid Tint/Cloud White-Core Black,"This adidas Ultra Boost 4.0 features a  White Primeknit upper with a matching cage overlay and laces. Contrast is made by way of the Black detailing noted on the heel counter, Boost midsole and rubber outsole.",211,adidas ultra boost 40 white black,Apr,Friday,FALSE,FALSE,FALSE,FALSE,orchid tint cloud white core black,White,152
BV6352-003,Jordan Why Not Zer0.2 Light Smoke Grey,Jordan Brand,4/4/19,125,Light Smoke Grey/Black-Cyber-Hyper Pink,"Covered in an array of colors, which does not come as a surprise, this Jordan Why Not Zer0.2 starts off with a shade of black on a the majority of the shoe with a Light Grey camo print landing on the ankle/heel areas. The splashes of color are provided by the addition of Cyber and Hyper Pink which can be seen on the heel counters, eyestays, tongue, and the camo graphics on the toes. A light grey midsole and matching rubber outsole complete the look on the shoe.",108,jordan why not zer02 light smoke grey,Apr,Thursday,FALSE,FALSE,FALSE,FALSE,light smoke grey black cyber hyper pink,Black,125
CD9560-106,Air Jordan 33 Low SE White Gym Red,Air Jordan,4/4/19,160,White/Metallic Gold-Gym Red,"Covered in a combination of White, Metallic Gold, and Gym Red, the sneaker’s mesh upper with FastFit tech and a new elastic strap on the midfoot are covered in white. Contrasting red trimming throughout, followed by FlightSpeed carbon fiber plate cushioning in the white/black/red midsole fitted with Zoom Air in the heel tops off the design.",197,air jordan 33 low se white gym red,Apr,Thursday,FALSE,FALSE,FALSE,FALSE,white metallic gold gym red,Red,154
CD7094-001,Nike WMNS Air VaporMax 2019 Vast Grey,Nike,4/4/19,190,Vast Gray/Black-Metallic Silver,"This Nike Air VaporMax 2019 comes covered in a versatile Vast Grey all throughout the TPE constructed upper which has then been hit with a black and white floral graphic that appears on the side panels, heel, and insoles. Finishing details include hits of black on the laces, Swoosh branding, and tongue tag along with a blue-tinted translucent VaporMax sole unit.",726,nike wmns air vapormax 2019 vast grey,Apr,Thursday,TRUE,FALSE,FALSE,FALSE,vast gray black metallic silver,Black,163
CD9561-103,Air Jordan 33 Low SE Guo Ailun,Air Jordan,4/4/19,160,Teal/Gold-White,"In 2018, Jordan Brand provided Chinese basketball player, Guo Ailun with an exclusive Air Jordan 33. Spring 2019, another player exclusive iteration with this Air Jordan 33 Low SE Guo Ailun in teal/aqua is introduced. The pastel hue covers the entire upper consist of knitted mesh and leather accents, while hits of gold are scattered throughout. Other touches include personal branding on the left tongue, Chinese text on the midsole, red hits for the mid-foot lacing strap and Nike Air branding embroidered into the heel tab. Finally, a glow-in-the-dark outsole tops off the style.",176,air jordan 33 low se guo ailun,Apr,Thursday,FALSE,FALSE,FALSE,FALSE,teal gold white,White,221
EF3326,adidas NMD R1 White Black Speckle,Adidas,4/4/19,130,Cloud White/Cloud White-Core Black,"This adidas NMD R1 comes constructed using mesh on the upper, tonal fused Three Stripes, branded TPU taping and Black EVA inserts with speckled detailing on them (the rear inserts only). A contrasting-colored suede heel overlay, White Boost midsole and Black rubber outsole completes the look.",83,adidas nmd r1 white black speckle,Apr,Thursday,FALSE,FALSE,FALSE,FALSE,cloud white cloud white core black,White,94
F36801,adidas NMD R1 Black White Speckle,Adidas,4/4/19,130,Core Black/Core Black-Grey Four,"This adidas NMD R1 comes constructed using mesh on the upper, tonal fused Three Stripes, branded TPU taping and Black EVA inserts with speckled detailing on them (the rear inserts only). A contrasting-colored suede heel overlay, White Boost midsole and Black rubber outsole completes the look.",49,adidas nmd r1 black white speckle,Apr,Thursday,FALSE,FALSE,FALSE,FALSE,core black core black grey four,Black,121
EF3327,adidas NMD R1 Red Black Speckle,Adidas,4/4/19,130,Scarlet/Scarlet-Core Black,"This adidas NMD R1 comes constructed using mesh on the upper, tonal fused Three Stripes, branded TPU taping and Black EVA inserts with speckled detailing on them (the rear inserts only). A contrasting-colored suede heel overlay, White Boost midsole and Black rubber outsole completes the look.",56,adidas nmd r1 red black speckle,Apr,Thursday,FALSE,FALSE,FALSE,FALSE,scarlet scarlet core black,Black,123
487754-407,Nike Tailwind Team Orange Tour Yellow,Nike,4/1/19,100,Blue Tint/Team Orange-Tour Yellow,"The classic Nike Tailwind is making its return as the ’70s runner is dropping in a bright colorway that mixes Blue Tint, Team Orange, and Tour Yellow. Made of mesh with suede overlays and leather accents, the mesh base is covered in yellow, followed by orange leather Swooshes on the sides, blue tint for the lining and heel tabs, and light grey used for the suede panels located on the eyestays, toe cap and heel area. Finally, a sail midsole and gum rubber outsole finishes off the style.",320,nike tailwind team orange tour yellow,Apr,Monday,FALSE,FALSE,FALSE,FALSE,blue tint team orange tour yellow,Blue,102
CI9873-400,Nike Cortez Los Angeles Dodgers,Nike,4/1/19,100,Deep Royal Blue/White-Metallic,"Inspired by the Los Angeles Dodgers, this Nike Cortez comes covered in the team’s colors. The shoe takes on a Deep Royal Blue upper along with white, red, and metallic accents. Additional details include nylon uppers with suede detailing and Los Angeles graffiti-style text in red on the heels to signify the connection.",182,nike cortez los angeles dodgers,Apr,Monday,FALSE,FALSE,FALSE,FALSE,deep royal blue white metallic,Blue,106
AJ6900-007,Nike Air VaporMax 3 Laser Fuchsia,Nike,4/1/19,190,Black/Blue Lagoon-Laser Fuchsia-Metallic Silver,"The updated runner sports a Black, Blue Lagoon, Laser Fuchsia, and Metallic Silver theme, with the Flyknit upper covered in a mixture of Pink, Blue, and Black all over. Finishing touches include metallic purple Swooshes, followed by an iridescent-like and clear VaporMax sole to complete the style.",306,nike air vapormax 3 laser fuchsia,Apr,Monday,FALSE,FALSE,FALSE,FALSE,black blue lagoon laser fuchsia metallic silver,Blue,161
